Sat Jul  1 12:56:27 2023
     Time    Values
 0.000000  0.027332
 0.000000 -0.005180
 0.096939  0.126064
 0.173892  0.141143
 0.245847  0.220746
 0.305812  0.201694
 0.363775  0.350207
 0.433732  0.445024
 0.491695  0.429209
 0.553657  0.532509
 0.616243  0.643636
 0.678201  0.578056
 0.742162  0.700525
 0.807124  0.751341
 0.870087  0.808023
 0.938043  0.771974
 1.000004  0.830915
 1.063965  0.884830
 1.131923  0.906533
 1.188887  0.887000
 1.247850  0.950657
 1.311811  0.979811
 1.373773  0.979505
 1.432733  0.994262
 1.489700  0.993230
 1.543667  0.999985
 1.604224  0.997362
 1.660191  0.985434
 1.716156  0.989937
 1.770119  0.976524
 1.826084  0.971193
 1.881053  0.953499
 1.935019  0.917440
 1.990985  0.950633
 2.060480  0.891046
 2.128445  0.813672
 2.193404  0.830663
 2.251369  0.823449
 2.307332  0.754137
 2.365296  0.659415
 2.421300  0.595123
 2.478268  0.549214
 2.539230  0.573805
 2.638168  0.432761
 2.712120  0.393298
 2.769084  0.311937
 2.841043  0.232362
 2.910002  0.162318
 2.969961  0.125860
 3.024927  0.091405
 3.091885  0.146676
 3.165840 -0.015963
 3.228801 -0.100235
 3.293761 -0.176983
 3.358722 -0.233991
 3.420666 -0.263866
 3.491570 -0.345251
 3.559531 -0.442188
 3.630488 -0.487245
 3.701444 -0.544179
 3.761406 -0.589817
 3.821368 -0.623613
 3.889327 -0.670157
 3.953287 -0.713464
 4.017249 -0.799874
 4.082210 -0.824805
 4.144167 -0.852090
 4.204132 -0.874314
 4.264095 -0.905485
 4.323058 -0.921452
 4.389018 -0.926479
 4.450977 -0.972743
 4.511941 -0.984152
 4.573902 -0.997613
 4.644857 -0.990641
 4.721810 -0.999628
 4.800759 -0.998413
 4.870717 -0.973186
 4.935679 -0.979411
 4.998639 -0.931392
 5.070592 -0.956768
 5.139553 -0.925318
 5.205508 -0.917401
 5.267017 -0.859587
 5.332975 -0.824113
 5.397936 -0.816885
 5.459900 -0.733525
 5.565833 -0.668180
 5.677761 -0.581864
 5.758712 -0.546362
 5.835663 -0.471059
 5.905620 -0.399045
 5.978576 -0.345664
 6.051529 -0.213721
 6.169457 -0.090677
 6.347347  0.065534
 6.519241  0.283253
 6.661152  0.359889
 6.795069  0.560437
 6.946977  0.574146
 7.111872  0.668755
 7.259781  0.772572
 7.410687  0.886216
 7.566589  0.956950
 7.706506  0.977733
 7.858408  0.996676
 8.008315  0.998412
 8.153226  0.944859
 8.298136  0.881529
 8.407068  0.845178
 8.535987  0.779201
 8.638925  0.705213
 8.730867  0.648282
 8.791829  0.544917
 8.849794  0.570226
 8.922745  0.516188
 8.982710  0.482949
 9.041010  0.325705
 9.098979  0.361961
 9.156944  0.267664
 9.215906  0.217568
