Tue Jul  4 23:37:37 2023
     Time    Values
 0.000000  0.021892
 0.000000  0.044458
 0.075953 -0.020627
 0.150908  0.095093
 0.211869  0.275459
 0.270833  0.240880
 0.325799  0.408411
 0.390759  0.383990
 0.455720  0.476071
 0.512683  0.489796
 0.567648  0.541181
 0.625612  0.590999
 0.685576  0.671017
 0.750535  0.677510
 0.810497  0.749218
 0.885450  0.777828
 0.955408  0.799014
 1.024365  0.832668
 1.093321  0.883860
 1.165278  0.919048
 1.223242  0.920746
 1.278206  0.965947
 1.333174  0.969864
 1.396133  0.982249
 1.454098  0.996818
 1.521055  0.999589
 1.585017  0.997079
 1.647977  0.997402
 1.708941  0.995837
 1.767902  0.994613
 1.832861  0.981178
 1.889827  0.912268
 1.947793  0.948153
 2.009751  0.918685
 2.069716  0.846125
 2.140674  0.829510
 2.206628  0.849413
 2.268592  0.781199
 2.331550  0.725610
 2.394513  0.701244
 2.458474  0.679589
 2.514439  0.588614
 2.598389  0.492525
 2.664347  0.528552
 2.723309  0.460658
 2.781274  0.331602
 2.847234  0.335943
 2.905197  0.249992
 2.962162  0.216799
 3.023124  0.144874
 3.090083 -0.005768
 3.156042 -0.010751
 3.220998 -0.136374
 3.282960 -0.162210
 3.341924 -0.168960
 3.400889 -0.321229
 3.463848 -0.381296
 3.525810 -0.301640
 3.585772 -0.403929
 3.647735 -0.473150
 3.713694 -0.603089
 3.780651 -0.558023
 3.842616 -0.658793
 3.907574 -0.729753
 3.972533 -0.769827
 4.038494 -0.770739
 4.102454 -0.816082
 4.177407 -0.890750
 4.248362 -0.914137
 4.320316 -0.908682
 4.383278 -0.947256
 4.453233 -0.955838
 4.524193 -0.997950
 4.599145 -0.997067
 4.676096 -0.999967
 4.747052 -0.999011
 4.815010 -0.990494
 4.882967 -0.963244
 4.948929 -0.977735
 5.012888 -0.950504
 5.075848 -0.927785
 5.139809 -0.887259
 5.211764 -0.862649
 5.279722 -0.803124
 5.350391 -0.825096
 5.414348 -0.736735
 5.480307 -0.742742
 5.550265 -0.642942
 5.617222 -0.548812
 5.690178 -0.553623
 5.757137 -0.501811
 5.822097 -0.419649
 5.886057 -0.400103
 5.952014 -0.310005
 6.017977 -0.240454
 6.089931 -0.145282
 6.155890 -0.130003
 6.228845 -0.066297
 6.293803 -0.019414
 6.359765 -0.005575
 6.427719  0.100915
 6.495679  0.247038
 6.561638  0.302575
 6.626597  0.336498
 6.700552  0.420165
 6.768507  0.462190
 6.836471  0.510126
 6.900426  0.596724
 6.964387  0.576953
 7.029347  0.693295
 7.094306  0.720766
 7.163266  0.764410
 7.232220  0.856400
 7.296181  0.877914
 7.364140  0.892722
 7.431098  0.918412
 7.501054  0.952563
 7.569015  0.965408
 7.630973  0.978102
 7.695932  0.993584
 7.766888  0.999784
 7.830849  0.997496
 7.894809  0.999620
 7.959771  0.979882
 8.023730  0.981413
 8.090689  0.957091
 8.152649  0.952543
 8.215610  0.935036
 8.277573  0.920772
 8.344530  0.910467
 8.409491  0.830679
 8.475450  0.752526
 8.544406  0.820432
 8.609365  0.682317
 8.675324  0.732061
 8.739288  0.613763
 8.804244  0.588980
 8.867203  0.517829
 8.934165  0.490140
 8.998124  0.337185
 9.067080  0.382647
 9.134039  0.295227
 9.204999  0.337483
 9.283946  0.167216
 9.361898  0.078123
 9.442849  0.052852
 9.518801 -0.167403
 9.597750 -0.204384
 9.674706 -0.238433
 9.790632 -0.314860
 9.933542 -0.575672
10.031484 -0.507124
